,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
14-5-20-0.5,300,60,502,1586,7.2,1188,0.0,0.5,205.588211,205.588,1952,936,1016,7.2,2097,0.0,0.4,205.588211,205.588,1555,705,850,0.8,15,0.0,0.0,205.588211,205.588,2496,723,555,1218,0.7,13,0.0,0.0,205.588211,205.588,2515,725,564,1226
15-5-20-0.5,300,100,518,2000,12.4,2852,0.0,0.4,247.414301,247.414,2019,962,1057,6.2,1412,0.0,0.4,247.414301,247.414,1665,794,871,2.6,324,0.0,0.1,247.414301,247.414,3124,858,512,1754,3.6,535,0.0,0.1,247.414301,247.414,2884,779,553,1552
16-5-20-0.5,400,5,874,6918,2.8,230,0.0,1.7,107.405037,107.405,2503,1212,1291,1.1,53,0.0,1.4,107.405037,107.405,2007,959,1048,0.9,9,0.0,0.1,107.405037,107.405,2430,784,685,961,0.8,8,0.0,0.1,107.405037,107.405,2425,790,656,979
17-5-20-0.5,400,10,840,5902,1.8,145,0.0,1.1,145.775170,145.775,2337,1193,1144,1.7,162,0.0,1.1,145.775170,145.775,2238,1135,1103,1.1,9,0.0,0.1,145.775170,145.775,2996,923,777,1296,1.1,17,0.0,0.1,145.775170,145.775,3037,961,748,1328
18-5-20-0.5,400,40,738,4070,238.5,45707,0.0,1.1,233.813585,233.814,4300,1871,2429,113.7,13967,0.0,0.8,233.813585,233.814,3529,1549,1980,37.7,1168,0.0,0.5,233.813585,233.814,6308,1343,1051,3914,57.7,2595,0.0,0.4,233.813585,233.814,6384,1269,1003,4112
19-5-20-0.5,400,80,816,4932,914.0,158865,0.0,0.7,317.623692,317.624,3758,1761,1997,122.6,16635,0.0,0.5,317.623692,317.624,3737,1462,2275,47.4,1707,0.0,0.2,317.623692,317.624,6917,1479,1014,4424,28.4,1138,0.0,0.1,317.623692,317.624,6176,1326,1138,3712
20-5-20-0.5,400,133,760,4170,TL,526792,0.1,0.8,362.377438,362.777,3747,1774,1973,TL,427543,0.1,0.6,362.453107,362.761,2901,1302,1599,101.7,6257,0.0,0.3,362.508890,362.509,9103,1593,952,6558,69.6,3733,0.0,0.2,362.508890,362.509,7736,1385,1011,5340
21-5-20-0.5,500,5,1186,12832,0.6,7,0.0,0.1,146.176000,146.176,1799,866,933,0.5,7,0.0,0.1,146.176000,146.176,1817,851,966,0.5,0,0.0,0.0,146.176000,146.176,2184,852,799,533,0.4,0,0.0,0.0,146.176000,146.176,2241,843,799,599
22-5-20-0.5,500,10,1090,9960,8.3,290,0.0,1.1,174.861566,174.862,4508,2427,2081,6.1,233,0.0,1.0,174.861566,174.862,3780,1826,1954,3.0,33,0.0,0.6,174.861566,174.862,4769,1473,1058,2238,2.6,25,0.0,0.5,174.861566,174.862,4229,1323,1072,1834
23-5-20-0.5,500,50,1196,11222,TL,270957,0.1,1.1,354.729833,355.230,6771,3240,3531,1234.5,65913,0.0,0.9,354.872908,354.873,5595,2660,2935,350.9,4185,0.0,0.5,354.872908,354.873,15039,2693,2098,10248,219.1,2370,0.0,0.4,354.872908,354.873,10892,2112,1626,7154
24-5-20-0.5,500,100,1174,11328,TL,303071,0.1,0.5,430.688085,430.980,5042,2312,2730,781.9,71369,0.0,0.4,430.742470,430.742,4747,1875,2872,330.5,10888,0.0,0.2,430.742470,430.742,11471,2285,1808,7378,228.2,6213,0.0,0.2,430.742470,430.742,10002,2082,1834,6086
25-5-20-0.5,500,167,1258,13962,TL,311688,0.1,0.6,476.075149,476.388,3861,1993,1868,TL,282014,0.0,0.5,476.075149,476.196,3108,1631,1477,1362.9,85820,0.0,0.2,476.075149,476.075,11215,2031,1204,7980,1385.7,65151,0.0,0.1,476.075149,476.075,7910,1725,1121,5064
26-5-20-0.5,600,5,1706,30160,4.4,81,0.0,1.6,214.314949,214.315,4196,2379,1817,4.2,44,0.0,1.2,214.314949,214.315,4534,2450,2084,4.4,17,0.0,0.8,214.314949,214.315,6300,2113,1504,2683,4.3,21,0.0,0.6,214.314949,214.315,5401,1992,1681,1728
27-5-20-0.5,600,10,1764,32768,722.7,27652,0.0,1.9,290.939435,290.939,9584,3514,6070,372.4,17293,0.0,1.7,290.939435,290.939,6825,2851,3974,138.9,1165,0.0,1.4,290.939435,290.939,10327,2682,2175,5470,86.9,762,0.0,1.2,290.939435,290.939,11662,2761,2894,6007
28-5-20-0.5,600,60,1716,33584,TL,108100,0.5,0.9,486.535196,488.830,7328,3422,3906,TL,106725,0.4,0.7,486.747208,488.623,6996,3053,3943,TL,84182,0.4,0.7,486.460720,488.282,15326,3471,3049,8806,TL,102688,0.2,0.5,487.053155,488.160,16027,3507,3024,9496
29-5-20-0.5,600,120,1714,28968,TL,164541,0.8,1.2,544.939056,549.254,6042,3193,2849,TL,146178,0.2,0.5,547.767583,549.098,5345,2508,2837,TL,138569,0.3,0.5,547.145318,548.913,14668,3123,2361,9184,TL,71179,0.1,0.3,547.830960,548.632,11702,2526,1970,7206
