,,,,,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
3-1-20-0.1-10,100,10,1,20,0.1,10,106,110,0.2,380,0.0,1.8,20.277490,20.277,319,157,162,0.2,270,0.0,1.1,20.277490,20.277,317,154,163,0.1,5,0.0,0.0,20.277490,20.277,344,136,134,74,0.1,3,0.0,0.0,20.277490,20.277,367,142,131,94
3-1-20-0.1-50,100,10,1,20,0.1,50,106,110,0.1,14,0.0,0.5,19.477153,19.477,273,139,134,0.1,4,0.0,0.1,19.477153,19.477,275,138,137,0.1,7,0.0,0.2,19.477153,19.477,328,130,124,74,0.0,0,0.0,0.0,19.477153,19.477,315,128,123,64
3-1-20-0.1-90,100,10,1,20,0.1,90,106,110,0.1,44,0.0,1.6,15.730804,15.731,282,142,140,1.1,1968,0.0,1.3,15.730804,15.731,277,137,140,0.1,66,0.0,0.4,15.730804,15.731,360,135,121,104,0.1,16,0.0,0.4,15.730804,15.731,318,121,127,70
3-1-20-0.2-10,100,10,1,20,0.2,10,106,110,0.1,156,0.0,1.5,20.184319,20.184,303,141,162,0.1,199,0.0,1.6,20.184319,20.184,288,134,154,0.0,0,0.0,0.0,20.184319,20.184,334,136,132,66,0.0,0,0.0,0.0,20.184319,20.184,333,132,131,70
3-1-20-0.2-50,100,10,1,20,0.2,50,106,110,0.1,13,0.0,0.4,19.386118,19.386,263,132,131,0.1,26,0.0,0.4,19.386118,19.386,274,134,140,0.1,3,0.0,0.0,19.386118,19.386,367,138,127,102,0.0,0,0.0,0.0,19.386118,19.386,326,130,122,74
3-1-20-0.2-90,100,10,1,20,0.2,90,106,110,0.1,8,0.0,0.7,15.656690,15.657,244,129,115,0.3,530,0.0,1.2,15.656690,15.657,246,130,116,0.1,0,0.0,0.0,15.656690,15.657,324,134,114,76,0.0,0,0.0,0.0,15.656690,15.657,305,130,123,52
3-2-20-0.01-10,100,10,2,20,0.01,10,106,110,0.2,266,0.0,2.0,20.361343,20.361,326,163,163,0.1,47,0.0,1.5,20.361343,20.361,297,155,142,0.1,8,0.0,0.1,20.361343,20.361,419,150,133,136,0.1,6,0.0,0.1,20.361343,20.361,394,147,135,112
3-2-20-0.01-50,100,10,2,20,0.01,50,106,110,0.1,15,0.0,0.9,19.559084,19.559,291,136,155,0.1,31,0.0,0.7,19.559084,19.559,273,132,141,0.1,3,0.0,0.0,19.559084,19.559,381,135,138,108,0.1,2,0.0,0.0,19.559084,19.559,339,131,134,74
3-2-20-0.01-90,100,10,2,20,0.01,90,106,110,0.1,94,0.0,2.4,15.797506,15.798,278,137,141,0.7,1000,0.0,1.5,15.797506,15.798,276,134,142,0.1,11,0.0,1.3,15.797506,15.798,378,145,129,104,0.1,35,0.0,1.2,15.797506,15.798,326,129,127,70
3-2-20-0.1-10,100,10,2,20,0.1,10,106,110,0.2,380,0.0,1.8,20.277490,20.277,319,157,162,0.2,270,0.0,1.1,20.277490,20.277,317,154,163,0.1,5,0.0,0.0,20.277490,20.277,344,136,134,74,0.1,3,0.0,0.0,20.277490,20.277,367,142,131,94
