,,,,,B&C-B,,,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#ProdSM,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
35-5-20-0.5,800,5,3424,143422,648.0,1184,0.0,6.0,432.061412,432.061,0,1,27950,5954,21996,16.9,45,0.0,1.2,432.061412,432.061,0,1,7136,2706,2480,1950
36-5-20-0.5,800,10,3052,91980,TL,10209,4.2,6.1,451.928929,470.870,0,1,39971,8041,31930,1045.5,1946,0.0,1.8,453.182826,453.183,0,1,15890,4151,2962,8777
37-5-20-0.5,800,80,2762,71842,TL,2276,1.4,1.5,701.991982,711.586,0,1,18375,4945,13430,TL,55909,0.1,0.3,704.043682,704.916,0,1,13013,3637,3348,6028
38-5-20-0.5,900,5,4520,224438,TL,4361,4.1,7.3,526.064593,547.890,0,1,94741,12406,82335,120.7,247,0.0,2.0,526.269965,526.270,0,1,11956,4142,3417,4397
39-5-20-0.5,900,10,4450,227826,TL,4059,2.9,4.3,637.377462,656.054,0,1,46483,8973,37510,127.9,286,0.0,0.7,637.701181,637.701,0,1,9094,3608,3331,2155
40-5-20-0.5,900,90,3552,140956,TL,1337,1.2,1.2,822.689123,832.182,0,1,17953,5602,12351,TL,67150,0.1,0.2,825.405246,825.936,0,1,9237,3428,2485,3324
1-5-20-0.8,100,5,114,64,0.0,0,0.0,0.0,14.600000,14.600,0,1,216,108,108,0.0,0,0.0,0.0,14.600000,14.600,0,1,242,111,115,16
2-5-20-0.8,100,10,124,76,0.0,0,0.0,0.0,26.648000,26.648,0,1,250,125,125,0.0,0,0.0,0.0,26.648000,26.648,0,1,253,116,121,16
3-5-20-0.8,100,10,116,100,0.0,0,0.0,0.0,25.613333,25.613,0,1,290,145,145,0.0,0,0.0,0.0,25.613333,25.613,0,1,304,130,128,46
4-5-20-0.8,100,20,106,56,0.1,0,0.0,0.0,35.408000,35.408,0,1,340,170,170,0.0,0,0.0,0.0,35.408000,35.408,0,1,290,135,143,12
5-5-20-0.8,100,33,130,114,0.1,0,0.0,0.0,62.004444,62.004,0,1,293,150,143,0.0,0,0.0,0.0,62.004444,62.004,0,1,329,148,131,50
6-5-20-0.8,200,5,296,430,0.0,0,0.0,0.0,30.133333,30.133,0,1,460,230,230,0.0,0,0.0,0.0,30.133333,30.133,0,1,498,230,246,22
7-5-20-0.8,200,10,292,592,0.1,0,0.0,0.0,50.205867,50.206,0,1,521,259,262,0.0,0,0.0,0.0,50.205867,50.206,0,1,618,266,262,90
8-5-20-0.8,200,20,278,418,0.1,0,0.0,0.0,69.544119,69.544,0,1,543,273,270,0.0,0,0.0,0.0,69.544119,69.544,0,1,618,273,279,66
9-5-20-0.8,200,40,302,502,0.4,6,0.0,0.0,117.076030,117.076,0,1,908,465,443,0.1,2,0.0,0.0,117.076030,117.076,0,1,796,322,292,182
10-5-20-0.8,200,67,328,900,1.3,7,0.0,0.0,157.131214,157.131,0,1,1285,617,668,0.1,3,0.0,0.0,157.131214,157.131,0,1,986,366,296,324
11-5-20-0.8,300,5,534,2358,0.1,0,0.0,0.0,61.631881,61.632,0,1,869,430,439,0.1,0,0.0,0.0,61.631881,61.632,0,1,1047,417,410,220
12-5-20-0.8,300,10,474,1654,0.1,0,0.0,0.0,79.251556,79.252,0,1,890,446,444,0.1,0,0.0,0.0,79.251556,79.252,0,1,1118,440,454,224
13-5-20-0.8,300,30,500,2004,1.6,20,0.0,0.1,151.100749,151.101,0,1,1580,747,833,0.4,3,0.0,0.0,151.100749,151.101,0,1,1638,564,570,504
14-5-20-0.8,300,60,502,1586,2.9,50,0.0,0.0,203.813062,203.813,0,1,1880,927,953,0.4,3,0.0,0.0,203.813062,203.813,0,1,1792,625,575,592
15-5-20-0.8,300,100,518,2000,9.7,272,0.0,0.1,244.776804,244.777,0,1,1858,852,1006,0.6,37,0.0,0.0,244.776804,244.777,0,1,1988,643,513,832
16-5-20-0.8,400,5,874,6918,0.7,0,0.0,0.0,105.842015,105.842,0,1,1581,773,808,0.3,0,0.0,0.0,105.842015,105.842,0,1,1955,701,660,594
17-5-20-0.8,400,10,840,5902,1.2,6,0.0,0.1,143.630068,143.630,0,1,1657,854,803,0.4,0,0.0,0.0,143.630068,143.630,0,1,2258,822,692,744
18-5-20-0.8,400,40,738,4070,11.8,436,0.0,0.3,230.274635,230.275,0,1,2950,1104,1846,1.3,20,0.0,0.0,230.274635,230.275,0,1,3191,915,860,1416
19-5-20-0.8,400,80,816,4932,22.9,445,0.0,0.1,312.678708,312.679,0,1,3439,1315,2124,1.5,61,0.0,0.0,312.678708,312.679,0,1,3577,1067,902,1608
20-5-20-0.8,400,133,760,4170,45.0,580,0.0,0.1,357.997858,357.998,0,1,3210,1205,2005,2.0,126,0.0,0.0,357.997858,357.998,0,1,3253,940,709,1604
21-5-20-0.8,500,5,1186,12832,0.8,0,0.0,0.0,143.190400,143.190,0,1,1826,911,915,0.5,0,0.0,0.0,143.190400,143.190,0,1,2199,880,820,499
22-5-20-0.8,500,10,1090,9960,4.3,51,0.0,0.4,171.224626,171.225,0,1,3002,1437,1565,1.6,15,0.0,0.1,171.224626,171.225,0,1,3770,1149,1195,1426
23-5-20-0.8,500,50,1196,11222,50.9,885,0.0,0.3,346.943387,346.943,0,1,4914,1857,3057,3.0,17,0.0,0.0,346.943387,346.943,0,1,4526,1434,1236,1856
24-5-20-0.8,500,100,1174,11328,TL,117351,0.0,0.2,422.367567,422.433,0,1,7379,1808,5571,7.7,330,0.0,0.0,422.367616,422.368,0,1,4894,1350,1410,2134
25-5-20-0.8,500,167,1258,13962,80.1,432,0.0,0.0,470.462752,470.463,0,1,3440,1360,2080,4.0,160,0.0,0.0,470.462752,470.463,0,1,3874,1416,1016,1442
