,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,#Cut,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,#Cut,#EOA,#LS
22-10-25-0.2,500,10,2496,21494,401.6,7697,0.0,5.6,284.236,284.236,0,1,13875,108.8,646,0.0,2.0,284.236,284.236,0,1,7672,1614,3490
23-10-25-0.2,500,50,2772,24348,TL,4731,2.6,3.0,441.256,452.600,0,1,14565,TL,31979,0.5,1.6,443.575,445.937,0,1,13863,2157,8253
24-10-25-0.2,500,100,2810,23810,TL,2482,1.1,1.2,488.944,494.318,2,2,7272,TL,62125,0.2,0.7,490.690,491.801,1,3,9996,1290,6049
25-10-25-0.2,500,167,3078,29866,TL,56358,0.0,0.2,499.697,499.706,0,1,3514,39.8,2496,0.0,0.2,499.698,499.698,0,1,2837,718,745
26-10-25-0.2,600,5,5086,70238,2971.3,28534,0.0,6.6,370.604,370.604,0,1,47247,33.2,192,0.0,1.8,370.604,370.604,0,1,6956,1794,2395
27-10-25-0.2,600,10,5420,75078,TL,11745,2.8,5.2,445.600,458.072,0,1,27994,997.4,20830,0.0,1.3,446.980,446.980,1,2,12442,4065,5147
28-10-25-0.2,600,60,5338,78458,TL,2094,1.9,2.1,571.882,582.632,0,1,13366,TL,132691,0.4,0.9,574.173,576.318,1,2,10094,2557,3862
29-10-25-0.2,600,120,4982,67654,TL,8451,0.2,0.4,596.582,597.828,0,1,6363,TL,135002,<0.1,0.4,597.142,597.395,0,1,6167,982,2642
30-10-25-0.2,600,200,4284,48514,90.9,0,0.0,0.0,600.000,600.000,0,1,1616,2.9,0,0.0,0.0,600.000,600.000,0,1,2948,1068,252
31-10-25-0.2,700,5,8624,152102,TL,8006,5.0,7.3,508.897,534.583,0,1,50169,415.4,911,0.0,2.4,510.572,510.572,0,1,15616,2593,8061
32-10-25-0.2,700,10,7294,123992,TL,6654,3.7,5.2,550.957,571.372,0,1,32442,953.1,2215,0.0,1.0,553.668,553.668,0,1,9981,2092,4076
33-10-25-0.2,700,70,7110,121930,TL,3060,1.0,1.1,685.534,692.242,0,1,11729,TL,93572,0.2,0.5,687.650,689.050,0,1,8191,1782,2949
34-10-25-0.2,700,140,8044,141988,219.2,86,0.0,0.1,699.831,699.831,0,1,2944,13.2,93,0.0,0.0,699.831,699.831,0,1,2701,768,201
35-10-25-0.2,800,5,14838,312066,TL,5160,3.4,4.6,668.602,691.412,0,1,47750,67.5,159,0.0,0.9,668.820,668.820,0,1,5704,2010,797
36-10-25-0.2,800,10,10904,224412,TL,3288,3.7,4.3,675.632,700.776,0,1,38961,TL,45106,0.2,1.0,677.499,679.145,0,1,13153,4339,4264
37-10-25-0.2,800,80,9072,186296,TL,2066,0.7,0.7,788.527,793.879,0,1,9184,TL,82461,0.2,0.5,790.338,791.594,0,1,7610,1409,2700
38-10-25-0.2,900,5,21526,466312,TL,2476,4.2,4.6,785.638,818.504,0,1,55977,827.6,2245,0.0,1.2,788.212,788.212,0,1,14729,3486,6343
