,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
9-5-20-0.5,200,40,302,502,1.1,175,0.0,0.2,117.590,117.590,755,379,376,0.7,140,0.0,0.2,117.590,117.590,723,355,368,0.4,7,0.0,0.0,117.590,117.590,805,354,283,168,0.2,3,0.0,0.0,117.590,117.590,783,343,289,151
10-5-20-0.5,200,67,328,900,7.0,1235,0.0,0.4,157.894,157.894,1014,516,498,5.7,604,0.0,0.4,157.894,157.894,944,478,466,0.5,15,0.0,0.1,157.894,157.894,1062,437,281,344,2.0,33,0.0,0.0,157.894,157.894,953,411,289,253
11-5-20-0.5,300,5,534,2358,1.0,8,0.0,0.1,62.080,62.080,948,478,470,0.4,2,0.0,0.0,62.080,62.080,942,445,497,0.2,0,0.0,0.0,62.080,62.080,993,438,404,151,0.1,0,0.0,0.0,62.080,62.080,983,427,410,146
12-5-20-0.5,300,10,474,1654,0.4,44,0.0,0.5,79.629,79.629,1011,470,541,0.4,22,0.0,0.4,79.629,79.629,1003,453,550,0.3,0,0.0,0.0,79.629,79.629,1039,443,441,155,0.1,0,0.0,0.0,79.629,79.629,1033,438,446,149
13-5-20-0.5,300,30,500,2004,12.2,1679,0.0,0.7,152.752,152.752,1803,901,902,9.6,1657,0.0,0.6,152.752,152.752,1535,782,753,1.2,20,0.0,0.1,152.752,152.752,1855,699,530,626,3.3,27,0.0,0.1,152.752,152.752,1767,686,601,480
14-5-20-0.5,300,60,502,1586,11.3,1196,0.0,0.5,205.588,205.588,1928,911,1017,14.6,2028,0.0,0.4,205.588,205.588,1590,718,872,2.2,20,0.0,0.0,205.588,205.588,1880,717,554,609,1.1,13,0.0,0.0,205.588,205.588,1902,725,566,611
15-5-20-0.5,300,100,518,2000,23.9,2852,0.0,0.4,247.414,247.414,2019,962,1057,4.6,1412,0.0,0.4,247.414,247.414,1665,794,871,5.0,218,0.0,0.1,247.414,247.414,2236,858,499,879,6.3,463,0.0,0.1,247.414,247.414,2097,775,547,775
16-5-20-0.5,400,5,874,6918,6.2,225,0.0,1.7,107.405,107.405,2546,1212,1334,1.2,53,0.0,1.4,107.405,107.405,2007,959,1048,1.2,8,0.0,0.1,107.405,107.405,1864,770,667,427,1.3,8,0.0,0.1,107.405,107.405,1944,790,656,498
17-5-20-0.5,400,10,840,5902,1.8,145,0.0,1.1,145.775,145.775,2337,1193,1144,2.2,162,0.0,1.1,145.775,145.775,2238,1135,1103,1.0,10,0.0,0.1,145.775,145.775,2382,934,784,664,0.9,17,0.0,0.1,145.775,145.775,2373,961,748,664
18-5-20-0.5,400,40,738,4070,199.2,36263,0.0,1.1,233.814,233.814,4339,1878,2461,235.1,34643,0.0,0.8,233.814,233.814,3927,1597,2330,45.4,1451,0.0,0.5,233.814,233.814,4691,1417,1050,2224,52.0,1817,0.0,0.4,233.814,233.814,4475,1279,1080,2116
19-5-20-0.5,400,80,816,4932,1026.4,149277,0.0,0.7,317.624,317.624,3888,1811,2077,189.4,21806,0.0,0.5,317.624,317.624,3737,1470,2267,57.4,2142,0.0,0.2,317.624,317.624,4892,1436,1050,2406,42.0,1948,0.0,0.1,317.624,317.624,4221,1290,1110,1821
20-5-20-0.5,400,133,760,4170,TL,582291,0.1,0.8,362.373,362.863,3850,1813,2037,TL,548034,0.1,0.6,362.433,362.733,2949,1318,1631,197.3,14196,0.0,0.3,362.509,362.509,5989,1611,970,3408,88.7,5131,0.0,0.2,362.509,362.509,4850,1370,995,2485
21-5-20-0.5,500,5,1186,12832,0.7,7,0.0,0.1,146.176,146.176,1799,866,933,0.6,7,0.0,0.1,146.176,146.176,1817,851,966,0.5,0,0.0,0.0,146.176,146.176,1919,852,799,268,0.6,0,0.0,0.0,146.176,146.176,1943,843,799,301
22-5-20-0.5,500,10,1090,9960,11.8,289,0.0,1.1,174.862,174.862,4443,2398,2045,8.2,187,0.0,1.0,174.862,174.862,3651,1746,1905,4.8,34,0.0,0.5,174.862,174.862,3798,1479,1181,1138,2.6,25,0.0,0.5,174.862,174.862,3312,1323,1072,917
23-5-20-0.5,500,50,1196,11222,TL,299872,0.2,1.1,354.482,355.309,6897,3265,3632,632.5,35657,0.0,0.9,354.873,354.873,5733,2764,2969,296.6,3137,0.0,0.5,354.873,354.873,9827,2691,1885,5251,202.3,2305,0.0,0.4,354.873,354.873,7161,2081,1563,3517
