,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
6-1-20-0.01-50,200,5,1,20,0.01,50,220,506,0.0,0,0.0,0.0,20.400251,20.400,0,1,549,234,237,78
6-1-20-0.01-90,200,5,1,20,0.01,90,220,506,0.1,0,0.0,0.0,16.800677,16.801,0,1,554,232,244,78
6-1-20-0.1-10,200,5,1,20,0.1,10,220,506,0.0,0,0.0,0.0,22.456362,22.456,0,1,540,237,237,66
6-1-20-0.1-50,200,5,1,20,0.1,50,220,506,0.0,0,0.0,0.0,20.400251,20.400,0,1,545,231,236,78
6-1-20-0.1-90,200,5,1,20,0.1,90,220,506,0.1,0,0.0,0.0,16.776032,16.776,0,1,548,230,244,74
6-1-20-0.2-10,200,5,1,20,0.2,10,220,506,0.0,0,0.0,0.0,22.456362,22.456,0,1,547,246,241,60
6-1-20-0.2-50,200,5,1,20,0.2,50,220,506,0.0,0,0.0,0.0,20.400251,20.400,0,1,528,231,237,60
6-1-20-0.2-90,200,5,1,20,0.2,90,220,506,0.0,0,0.0,0.0,16.748648,16.749,0,1,508,229,251,28
6-2-20-0.01-10,200,5,2,20,0.01,10,238,488,0.0,0,0.0,0.0,24.120613,24.121,0,1,526,234,238,54
6-2-20-0.01-50,200,5,2,20,0.01,50,238,488,0.0,0,0.0,0.0,22.301665,22.302,0,1,555,229,234,92
6-2-20-0.01-90,200,5,2,20,0.01,90,238,488,0.0,0,0.0,0.0,18.330722,18.331,0,1,496,225,247,24
6-2-20-0.1-10,200,5,2,20,0.1,10,238,488,0.0,0,0.0,0.0,24.120613,24.121,0,1,567,243,244,80
6-2-20-0.1-50,200,5,2,20,0.1,50,238,488,0.0,0,0.0,0.0,22.301665,22.302,0,1,521,227,234,60
6-2-20-0.1-90,200,5,2,20,0.1,90,238,488,0.0,0,0.0,0.0,18.330722,18.331,0,1,486,222,240,24
6-2-20-0.2-10,200,5,2,20,0.2,10,238,488,0.0,0,0.0,0.0,24.120613,24.121,0,1,557,243,246,68
6-2-20-0.2-50,200,5,2,20,0.2,50,238,488,0.0,0,0.0,0.0,22.301665,22.302,0,1,516,222,242,52
6-2-20-0.2-90,200,5,2,20,0.2,90,238,488,0.0,0,0.0,0.0,18.330722,18.331,0,1,462,222,240,0
7-1-20-0.01-10,200,10,1,20,0.01,10,212,672,0.3,19,0.0,0.9,40.165403,40.165,0,1,1234,381,391,462
7-1-20-0.01-50,200,10,1,20,0.01,50,212,672,0.1,8,0.0,0.1,39.681553,39.682,0,1,778,280,286,212
7-1-20-0.01-90,200,10,1,20,0.01,90,212,672,0.1,0,0.0,0.0,31.708417,31.708,2,3,669,256,267,146
7-1-20-0.1-10,200,10,1,20,0.1,10,212,672,0.3,19,0.0,0.8,39.794644,39.795,0,1,1166,354,344,468
7-1-20-0.1-50,200,10,1,20,0.1,50,212,672,0.1,5,0.0,0.0,39.341305,39.341,0,1,776,280,276,220
7-1-20-0.1-90,200,10,1,20,0.1,90,212,672,0.1,0,0.0,0.0,31.018798,31.019,2,2,553,229,248,76
7-1-20-0.2-10,200,10,1,20,0.2,10,212,672,0.3,13,0.0,0.6,39.382690,39.383,0,1,1047,334,305,408
7-1-20-0.2-50,200,10,1,20,0.2,50,212,672,0.1,0,0.0,0.0,38.963251,38.963,0,1,679,275,276,128
7-1-20-0.2-90,200,10,1,20,0.2,90,212,672,0.1,4,0.0,0.0,30.404072,30.404,1,2,623,247,260,116
